miRNA;weight;publicatinon;p_value;p_value_adj;;;
mir-27a-3p;7,37;2;NA;NA;;;
mir-335-5p;4,90;0;0,641;0,69;;;
mir-1-3p;4,74;5;0,057;0,16;;;
mir-1343-3p;4,21;0;NA;NA;;;
mir-10b-5p;4,19;2;0,024;0,13;;;
mir-23b-3p;3,87;0;0,176;0,25;;;
mir-124-3p;3,37;0;0,003;0,04;;;
mir-146a-5p;3,37;2;0,006;0,05;;;
mir-20a-5p;3,37;1;0,010;0,07;;;
mir-429;3,37;1;0,576;0,65;;;
let-7b-5p;3,25;0;0,072;0,16;;;
mir-191-5p;2,53;0;0,512;0,61;;;
mir-671-5p;2,52;0;0,741;0,77;;;
mir-101-3p;2,52;0;0,349;0,45;;;
mir-106a-5p;2,50;0;0,003;0,04;;;
mir-128-3p;2,50;0;0,141;0,23;;;
mir-16-5p;2,50;0;0,182;0,25;;;
mir-182-5p;2,50;1;0,150;0,23;;;
mir-7-5p;2,50;0;NA;NA;;;
mir-522-5p;2,50;0;0,035;0,15;;;
mir-330-3p;2,49;0;0,514;0,61;;;
mir-200c-3p;2,49;0;0,784;0,78;;;
let-7a-5p;2,40;0;0,061;0,16;;;
let-7f-5p;2,40;0;0,067;0,16;;;
let-7g-5p;2,40;0;0,079;0,16;;;
let-7i-5p;2,40;0;0,064;0,16;;;
mir-129-2-3p;2,40;0;NA;NA;;;
mir-27a-5p;2,40;2;0,114;0,20;;;
mir-30d-5p;2,37;2;0,072;0,16;;;
mir-133a-3p;2,37;6;0,091;0,17;;;